Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week
S1000,Sara,Miller,sara0@university.com,Male,24,Engineering,89.83,51.01,86.78,79.84,66.75,46.0,72.96,73.62,C,13.34
S1001,Olivia,Smith,olivia1@university.com,Female,20,Mathematics,51.03,98.19,89.95,60.62,50.91,51.0,65.21,73.03,C,18.12
S1002,John,Garcia,john2@university.com,Male,21,Engineering,51.15,71.49,63.99,52.33,98.43,53.97,54.53,63.81,D,20.46
S1003,Liam,Garcia,liam3@university.com,Female,21,Mathematics,75.71,75.54,42.79,80.38,50.23,43.9,97.44,66.18,D,29.14
S1004,Sara,Davis,sara4@university.com,Female,19,Mathematics,69.27,40.96,53.85,62.05,81.0,76.6,91.66,62.45,D,9.33
S1005,Ahmed,Smith,ahmed5@university.com,Female,18,Engineering,62.94,79.75,58.7,76.0,72.8,51.09,98.48,71.15,C,24.38
S1006,Emma,Davis,emma6@university.com,Female,19,Business,69.76,95.6,83.64,66.33,74.23,71.25,98.06,81.23,B,26.11
S1007,Olivia,Smith,olivia7@university.com,Male,22,Engineering,63.57,89.72,61.41,64.05,72.56,48.46,90.11,71.13,C,6.86
S1008,Olivia,Jones,olivia8@university.com,Female,24,CS,71.17,63.69,57.61,50.7,51.93,82.68,89.51,63.7,D,20.15
S1009,Ava,Johnson,ava9@university.com,Male,19,CS,67.92,46.95,91.79,81.16,59.85,43.81,65.55,69.43,D,13.13
S1010,Omar,Davis,omar10@university.com,Female,20,Business,79.56,56.48,73.67,69.15,98.3,90.93,86.09,75.01,C,10.9
S1011,Emma,Garcia,emma11@university.com,Female,23,CS,74.69,71.36,65.65,51.27,46.47,41.89,81.82,64.5,D,12.86
S1012,Noah,Williams,noah12@university.com,Female,21,Business,95.38,54.96,64.62,87.78,53.73,44.62,64.49,68.67,D,9.03
S1013,Ahmed,Smith,ahmed13@university.com,Female,19,Engineering,81.22,57.74,46.33,72.83,53.11,64.99,94.16,64.21,D,13.11
S1014,Emma,Williams,emma14@university.com,Male,24,Business,94.8,59.08,46.6,61.4,65.63,89.08,93.04,67.22,D,5.17
S1015,Olivia,Williams,olivia15@university.com,Female,20,CS,70.87,53.33,47.19,66.88,96.57,59.39,75.94,63.35,D,22.58
S1016,Omar,Williams,omar16@university.com,Male,18,Mathematics,53.24,55.23,54.81,84.82,82.74,48.89,99.89,66.17,D,11.67
S1017,Liam,Jones,liam17@university.com,Male,19,Engineering,75.13,43.09,56.72,95.41,54.37,48.69,74.47,63.7,D,29.64
S1018,Maria,Smith,maria18@university.com,Male,24,Business,83.61,85.7,54.26,86.41,62.07,77.94,81.68,74.48,C,18.39
S1019,Omar,Davis,omar19@university.com,Female,18,Business,57.54,70.49,81.75,92.92,59.56,53.21,85.56,74.28,C,25.24
S1020,John,Miller,john20@university.com,Male,21,Mathematics,82.26,50.46,81.46,69.34,96.2,48.25,67.05,71.93,C,7.84
S1021,Sara,Garcia,sara21@university.com,Female,24,Business,77.07,81.75,53.71,58.75,98.93,71.0,63.04,69.9,D,29.91
S1022,Emma,Miller,emma22@university.com,Male,23,CS,94.86,94.03,77.99,66.95,60.95,83.56,94.86,82.33,B,27.18
S1023,Olivia,Miller,olivia23@university.com,Male,18,Business,82.1,45.05,49.7,94.93,76.39,40.55,55.07,63.16,D,21.59
S1024,John,Garcia,john24@university.com,Female,22,CS,64.2,58.32,69.14,72.42,99.67,50.56,50.9,67.03,D,17.35
S1025,Sara,Johnson,sara25@university.com,Female,21,CS,68.32,84.65,83.26,65.4,72.55,70.53,81.82,76.77,C,11.26
S1026,Ava,Smith,ava26@university.com,Female,23,Engineering,98.65,63.59,93.52,81.56,87.69,70.16,78.85,83.29,B,17.31
S1027,Emma,Davis,emma27@university.com,Male,22,Business,61.51,69.95,74.32,88.43,42.62,99.67,73.5,71.66,C,11.99
S1028,Maria,Miller,maria28@university.com,Female,23,Engineering,68.51,40.93,95.7,71.41,98.0,97.82,92.65,77.05,C,12.36
S1029,Olivia,Davis,olivia29@university.com,Male,22,Business,59.55,56.11,69.12,68.63,63.68,90.65,96.5,68.28,D,6.76
S1030,John,Brown,john30@university.com,Male,19,Engineering,80.75,99.4,48.41,75.92,92.64,84.45,84.85,77.45,C,22.56
S1031,John,Davis,john31@university.com,Female,24,Business,64.68,88.56,88.61,93.35,94.79,70.68,75.08,84.09,B,24.96
S1032,John,Miller,john32@university.com,Female,18,Mathematics,53.55,63.81,43.05,94.33,41.66,74.73,71.92,60.8,D,21.8
S1033,Maria,Davis,maria33@university.com,Male,20,Mathematics,73.28,72.56,57.19,79.54,41.83,42.24,91.13,67.14,D,14.0
S1034,Olivia,Garcia,olivia34@university.com,Male,21,Mathematics,66.33,89.67,56.29,98.26,67.44,90.52,59.72,73.94,C,15.28
S1035,Ahmed,Jones,ahmed35@university.com,Male,20,CS,81.87,83.57,98.55,75.82,59.38,87.71,63.54,81.68,B,15.97
S1036,Sara,Davis,sara36@university.com,Female,24,Engineering,62.54,51.06,44.85,71.42,81.31,43.49,95.76,61.4,D,16.06
S1037,John,Johnson,john37@university.com,Male,23,Engineering,54.69,50.97,96.08,81.91,71.0,79.43,71.78,72.95,C,23.25
S1038,Ava,Brown,ava38@university.com,Male,20,CS,62.39,61.36,85.47,50.72,46.96,42.76,52.04,62.64,D,26.39
S1039,Olivia,Davis,olivia39@university.com,Male,21,Business,58.77,41.03,85.8,90.35,60.78,67.88,82.49,69.74,D,6.2
S1040,Ava,Davis,ava40@university.com,Male,23,CS,81.75,42.72,62.48,81.29,70.19,91.39,82.93,68.5,D,9.07
S1041,Maria,Smith,maria41@university.com,Male,24,Engineering,97.21,92.03,78.18,90.05,80.63,74.4,56.43,83.47,B,25.28
S1042,Emma,Davis,emma42@university.com,Male,20,Engineering,97.07,63.17,97.67,95.27,51.75,44.16,55.04,78.79,C,5.46
S1043,Olivia,Garcia,olivia43@university.com,Male,20,Mathematics,80.91,60.19,79.34,69.27,80.9,60.44,63.03,71.82,C,17.4
S1044,John,Brown,john44@university.com,Female,19,Business,84.84,77.74,92.65,86.75,88.21,56.92,58.87,82.0,B,23.77
S1045,Noah,Brown,noah45@university.com,Female,20,CS,99.53,64.76,62.32,88.82,60.45,95.85,92.92,76.91,C,15.72
S1046,Maria,Johnson,maria46@university.com,Female,22,Business,87.0,54.29,62.66,76.72,69.79,63.38,64.88,67.72,D,7.5
S1047,Maria,Johnson,maria47@university.com,Male,21,Business,50.54,94.32,45.48,65.97,97.0,97.04,78.67,70.13,C,20.8
S1048,Noah,Johnson,noah48@university.com,Female,22,CS,54.59,76.15,73.22,60.64,96.77,86.88,55.67,70.41,C,28.27
S1049,Maria,Williams,maria49@university.com,Female,19,Business,52.88,72.97,66.49,94.39,61.05,47.02,57.15,67.48,D,24.04
S1050,John,Johnson,john50@university.com,Male,21,CS,93.34,90.31,65.57,61.13,63.8,93.51,57.33,74.41,C,17.83
S1051,Maria,Williams,maria51@university.com,Male,23,CS,99.33,62.46,62.24,90.64,96.83,99.16,87.67,79.96,C,14.41
S1052,John,Johnson,john52@university.com,Female,24,Mathematics,74.08,62.68,82.31,62.44,59.82,66.07,62.68,69.14,D,15.13
S1053,Omar,Jones,omar53@university.com,Female,23,Mathematics,52.82,47.13,47.05,82.46,84.76,75.0,98.11,63.52,D,14.37
S1054,Liam,Johnson,liam54@university.com,Male,18,Mathematics,54.14,71.7,66.18,90.11,98.67,73.36,66.13,72.67,C,6.09
S1055,Ahmed,Davis,ahmed55@university.com,Male,22,Engineering,99.65,44.43,73.23,98.47,71.39,77.76,84.79,76.42,C,16.36
S1056,Ava,Miller,ava56@university.com,Male,22,Mathematics,84.85,63.05,84.23,95.76,97.52,43.47,69.73,79.66,C,7.67
S1057,Ava,Williams,ava57@university.com,Male,22,Mathematics,63.87,51.29,67.82,67.67,75.02,44.66,98.72,66.55,D,29.66
S1058,Olivia,Garcia,olivia58@university.com,Female,23,Business,51.62,56.79,64.67,80.14,56.26,47.99,53.81,60.69,D,28.51
S1059,Maria,Garcia,maria59@university.com,Male,20,Mathematics,86.29,76.8,65.09,96.64,91.96,42.71,51.32,75.54,C,14.41
S1060,Noah,Miller,noah60@university.com,Female,18,Engineering,74.02,99.12,62.6,87.48,63.58,89.75,78.45,78.39,C,6.59
S1061,Ava,Miller,ava61@university.com,Male,18,Business,70.74,56.4,43.38,93.24,88.77,99.98,99.83,70.58,C,18.89
S1062,Omar,Garcia,omar62@university.com,Female,22,Business,86.31,85.42,62.67,62.05,52.3,55.09,63.74,69.37,D,10.18
S1063,Emma,Jones,emma63@university.com,Female,18,Mathematics,83.59,77.09,61.49,55.68,80.29,71.22,88.62,72.13,C,18.0
S1064,Olivia,Brown,olivia64@university.com,Female,21,Business,90.82,98.08,45.3,89.59,75.4,68.8,71.03,76.09,C,24.62
S1065,Ava,Williams,ava65@university.com,Female,23,Business,85.2,52.78,48.18,50.73,61.04,75.4,69.61,59.83,F,15.94
S1066,Ahmed,Brown,ahmed66@university.com,Female,24,CS,86.32,72.85,67.05,95.52,57.88,71.42,84.88,76.46,C,24.91
S1067,Liam,Garcia,liam67@university.com,Female,19,Business,96.33,69.53,55.49,72.96,98.8,69.56,66.44,73.17,C,20.84
